,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-5.0,101.0,-0.021062981526079216,0.05997154235854063,0.009173748411357097,0.038134051587989326,0.034542618608507214,-0.009536405750127042,1.0,0.12606842150412537,-0.02099714306635142,0.22469212074475237,0.036056639827894366,0.07267667019649654,1,Ryan Harrison,Leonardo Mayer
1,-40.0,297.0,-0.04396615315234176,0.028693885325725033,0.04180475360033531,0.026200320431740476,0.018033130641110118,-0.017710345271661154,1.0,0.05404026442549384,0.034568513284249286,0.06675146957952388,0.015883687108959738,0.044233451072850594,1,Jared Donaldson,Jordan Thompson
2,-33.0,582.0,0.02243209848087402,-0.03766649321913629,0.0024898622810913817,-0.02138199961742049,0.0855624502504867,-0.023486757303164074,-1.0,-0.20436804491231259,0.014067324083427701,-0.07945379815309073,0.043341233033004495,0.06418045063306621,0,Damir Dzumhur,Denis Istomin
3,-164.0,810.0,-0.05705018482676372,0.06505485622288043,-0.07515800814761475,-0.0011299137557085892,-0.042655974217161996,-0.021041388518024062,-1.0,0.14287350703924673,0.004106470713812205,0.08683982683982677,-0.02478351927808306,-0.043785887972870585,0,Steve Johnson,Alex De Minaur
4,-107.0,456.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,Federico Delbonis,Michael Mmoh
5,-185.0,1067.0,0.04334103180975157,0.015127672147826399,-0.11242242540692154,-0.02879054482621446,-0.008408337431752344,0.0,1.0,-0.03092524759191423,0.005677655677655671,0.14986772486772476,-0.01901880628247321,-0.0371988822579668,1,Mischa Zverev,John Patrick Smith
6,-12.0,444.0,0.0566746262179878,-0.05768568492428228,0.014364560142701044,-0.01772939925061845,0.07817481010476979,0.02416065356166286,-1.0,-0.208403534424153,-0.039853884369673354,-0.09163039762065739,0.04253893720724322,0.06044541085415134,0,Diego Sebastian Schwartzman,Alexandr Dolgopolov
7,-54.0,270.0,0.09424941322614722,-0.023340130098887468,0.02672001408507524,0.009514624882942968,-0.04344936617512002,-0.06040739320262356,1.0,-0.033701072060427745,0.00888446901987451,0.18194444444444452,-0.020295942976198966,-0.03393474129217705,1,Horacio Zeballos,Ernesto Escobedo
8,-3.0,8.0,0.06391324012269306,-0.026688969756609948,0.0455071938360635,0.018784291816004717,0.002763368235103758,0.026206845568123027,1.0,-0.1400623753368633,-0.05852392419656699,-0.10122655122655128,0.004817073722396592,0.021547660051108475,1,Matthew Ebden,Francis Tiafoe
9,-33.0,851.0,-0.045215218137151125,0.10686829115292884,0.042829487469814354,0.06401421471242563,-0.06085534249280311,-0.01642341836444372,-1.0,0.4082547165397705,0.029447187971535227,0.0562660571751481,-0.018864550961918247,0.0031588722196225216,0,Gilles Muller,Hyeon Chung
10,-1.0,11.0,-0.010553348226028603,-0.0422053312148859,-0.035734626904811884,-0.04434745427690345,0.004424155377960093,-9.949384550211882e-05,1.0,-0.08491843555290238,-0.05621547779925351,0.13442279942279944,-0.011597817773007973,-0.03992329889894336,1,Kyle Edmund,Denis Shapovalov
11,-9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,John Millman,Peter Polansky
12,-72.0,511.0,-0.07291734803462502,0.10823026180169038,-0.04805632963527695,0.029758370602192108,0.02732965087695466,0.0,1.0,0.035566848610326884,0.16167733232950626,-0.33584656084656084,0.023712527732814404,0.05708802147914677,1,Ryan Harrison,Yannick Hanfmann
13,-9.0,81.0,-0.10321008613258997,0.007495632735237012,-0.01427972807614264,-0.024316519174161222,0.0609659781657208,0.006802409574366175,1.0,0.03850865257640615,0.06774303833751372,0.07781385281385267,0.03419087896016382,0.03664945899155958,0,Jared Donaldson,Denis Istomin
14,-184.0,1550.0,-0.011443816318735811,0.2868305769675292,0.33012310187232785,0.2957544868963926,0.09286499909371854,0.0,-1.0,0.49043828978039505,-0.07353392221813274,0.04230769230769227,0.157178882369856,0.3886194859901112,0,Milos Raonic,Alex De Minaur
15,-142.0,1003.0,-0.024619954113720977,0.027470262024037795,0.0012880239173342911,0.00340430197236119,0.09112033353733173,0.0,-1.0,0.2113486842105263,0.02631578947368421,0.059523809523809534,0.061626479322830385,0.09452463550969292,0,Mischa Zverev,Michael Mmoh
16,-28.0,463.0,-0.050510201149894685,0.027498661921662393,0.017110522289258467,0.012301655949108592,0.08360966363985994,0.00591896840559214,-0.33333333333333326,0.11150511520724468,0.0496980609254493,0.07095024858182764,0.05566811678278377,0.09591131958896854,1,Alexandr Dolgopolov,Horacio Zeballos
17,-55.0,1340.0,-0.04286288430809926,0.14251031083094134,0.12143405020303627,0.12148622321551739,0.06331256729008022,-0.006610701593092072,1.0,0.37968710005321954,0.02328674537430575,0.2667989417989419,0.08646460110594736,0.1847987905055976,1,Nick Kyrgios,Matthew Ebden
18,-8.0,148.0,-0.05709829828220514,-0.0017857630985256279,0.043362575402081105,-0.0014991490610878344,-0.03476538790383665,0.006223211403176054,-1.0,0.05141301219005734,1.5885973268042752e-05,0.023282412380156825,-0.024892720623626352,-0.03626453696492449,1,Kyle Edmund,Hyeon Chung
19,-125.0,4714.0,-0.017974994107463393,0.12656206658201652,0.014450830348185506,0.08128062961998639,0.031050072208162083,0.002825954911502948,1.0,0.10094379457476776,0.08216904186138478,0.10403586745498505,0.04770199576757547,0.11233070182814847,1,Grigor Dimitrov,John Millman
20,-16.0,201.0,-0.048645284267166966,-0.009471672944739717,-0.049623374303129464,-0.04027895516111657,0.004010264476640268,0.010092625763669316,1.0,0.03583021646917775,0.06252271604802506,0.028929040536183392,-0.007207063121139223,-0.0362686906844763,1,Ryan Harrison,Denis Istomin
21,-33.0,54.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,Michael Mmoh,Alex De Minaur
22,-17.0,779.0,0.10059192093340241,0.07144734860341617,0.04217313283948443,0.0834362559689058,0.027276754565013883,0.028952521763215278,-1.0,0.29790970878136064,0.00780190851132978,0.1394553197277557,0.04934129405220203,0.11071301053391969,1,Nick Kyrgios,Alexandr Dolgopolov
